state,group,grade,sub,vgap,vgapse,sesgap,resid,incV,edV,unemprat,povrat,enrl,fips,y1sesgap,y2sesgap,x1sesgap,x2sesgap,y1incV,y2incV,x1incV,x2incV,y1edV,y2edV,x1edV,x2edV,vgapse2,seweight,y1unemprat,y2unemprat,x1unemprat,x2unemprat,y1povrat,y2povrat,x1povrat,x2povrat
"CA","blk",8,"read",.785,.0323,.3320749,-.0075923,.9147701,.6727064,2.410122,3.275402,35644.25,"California",.361,2.061,-.1,1.6,.1607846,1.165672,-1,2,.3933816,1.477607,-.5,2.5,.0010445,957.4203,.6902131,1.108518,0,10,.540767,1.400359,0,11
"CA","hsp",8,"math",.884,.0241,.5479378,.0682589,.8581514,1.218022,1.733821,3.065096,233902.8,"California",.167,1.867,-.1,1.6,-.2876797,1.450589,-1,2,.147586,1.40787,-.5,2.5,.0005817,1719.2,.6211048,1.476643,0,10,.319176,1.891673,0,11
"CA","hsp",8,"read",.758,.0248,.6278898,.0520929,.8581514,1.218022,1.733821,3.065096,233902.8,"California",-.022,1.678,-.1,1.6,-.4886567,1.399311,-1,2,-.0144324,1.348337,-.5,2.5,.0006159,1623.682,.5188523,1.316976,0,10,.2017192,1.800016,0,11
"CO","blk",4,"math",.984,.0443,.5402762,-.1628435,1.158041,.9659758,2.652738,4.443823,3302.667,"Colorado",.507,2.207,-.1,1.6,.2297721,1.420677,-1,2,.4695542,1.851122,-.5,2.5,.0019663,508.5788,.85237,1.368426,0,10,.6289541,1.821329,0,11
"CO","blk",4,"read",.791,.0448,.4447749,-.1318558,1.158041,.9659758,2.652738,4.443823,3302.667,"Colorado",.378,2.078,-.1,1.6,.1815398,1.155946,-1,2,.3938085,1.484521,-.5,2.5,.0020108,497.3096,.6717991,1.181764,0,10,.5082991,1.483623,0,11
"CO","hsp",4,"read",.868,.0245,.7121271,.0047061,.9783396,1.236261,1.903378,4.024966,16933.67,"Colorado",.051,1.751,-.1,1.6,-.4413069,1.422306,-1,2,-.0339986,1.435674,-.5,2.5,.0005983,1671.479,.5585436,1.320314,0,10,.2325985,1.844095,0,11
"CO","hsp",4,"math",.902,.0278,.6976328,-.0384159,.9783396,1.236261,1.903378,4.024966,16933.67,"Colorado",.143,1.843,-.1,1.6,-.3790149,1.504489,-1,2,.0675631,1.480557,-.5,2.5,.0007711,1296.819,.6213536,1.417812,0,10,.2802785,1.986334,0,11
"CO","blk",8,"read",.766,.0469,.4689784,-.1636477,1.158041,.9659758,2.652738,4.443823,3302.667,"Colorado",.361,2.061,-.1,1.6,.1607846,1.165672,-1,2,.3933816,1.477607,-.5,2.5,.0022019,454.1556,.6902131,1.108518,0,10,.540767,1.400359,0,11
"CO","blk",8,"math",.987,.0457,.6160839,-.1598769,1.158041,.9659758,2.652738,4.443823,3302.667,"Colorado",.431,2.131,-.1,1.6,.1057694,1.473777,-1,2,.4672487,1.820155,-.5,2.5,.0020911,478.2125,.8620538,1.28495,0,10,.5980427,1.855158,0,11
"CO","hsp",8,"math",.956,.0297,.6729517,.0159427,.9783396,1.236261,1.903378,4.024966,16933.67,"Colorado",.167,1.867,-.1,1.6,-.2876797,1.450589,-1,2,.147586,1.40787,-.5,2.5,.0008848,1130.2,.6211048,1.476643,0,10,.319176,1.891673,0,11
"CO","hsp",8,"read",.796,.0332,.729206,-.0110261,.9783396,1.236261,1.903378,4.024966,16933.67,"Colorado",-.022,1.678,-.1,1.6,-.4886567,1.399311,-1,2,-.0144324,1.348337,-.5,2.5,.001099,909.884,.5188523,1.316976,0,10,.2017192,1.800016,0,11
"CT","blk",4,"math",1.27,.0362,.4483966,.2180827,.9696646,.8571268,2.447752,3.64438,5725.75,"Connecticut",.507,2.207,-.1,1.6,.2297721,1.420677,-1,2,.4695542,1.851122,-.5,2.5,.0013123,762.048,.85237,1.368426,0,10,.6289541,1.821329,0,11
"CT","blk",4,"read",1.04,.0384,.3628742,.2037009,.9696646,.8571268,2.447752,3.64438,5725.75,"Connecticut",.378,2.078,-.1,1.6,.1815398,1.155946,-1,2,.3938085,1.484521,-.5,2.5,.0014756,677.6705,.6717991,1.181764,0,10,.5082991,1.483623,0,11
"CT","hsp",4,"read",.968,.0355,.9135487,-.0971905,1.200398,1.178986,2.205444,6.147077,7017.25,"Connecticut",.051,1.751,-.1,1.6,-.4413069,1.422306,-1,2,-.0339986,1.435674,-.5,2.5,.0012602,793.5486,.5585436,1.320314,0,10,.2325985,1.844095,0,11
"CT","hsp",4,"math",1.08,.0381,.9435669,-.1030394,1.200398,1.178986,2.205444,6.147077,7017.25,"Connecticut",.143,1.843,-.1,1.6,-.3790149,1.504489,-1,2,.0675631,1.480557,-.5,2.5,.0014478,690.6988,.6213536,1.417812,0,10,.2802785,1.986334,0,11
"CT","blk",8,"math",1.17,.0364,.509485,.1247696,.9696646,.8571268,2.447752,3.64438,5725.75,"Connecticut",.431,2.131,-.1,1.6,.1057694,1.473777,-1,2,.4672487,1.820155,-.5,2.5,.0013262,754.014,.8620538,1.28495,0,10,.5980427,1.855158,0,11
"CT","blk",8,"read",.959,.0393,.4006985,.0976398,.9696646,.8571268,2.447752,3.64438,5725.75,"Connecticut",.361,2.061,-.1,1.6,.1607846,1.165672,-1,2,.3933816,1.477607,-.5,2.5,.0015458,646.9077,.6902131,1.108518,0,10,.540767,1.400359,0,11
"CT","hsp",8,"read",.885,.0383,.9194144,-.1124061,1.200398,1.178986,2.205444,6.147077,7017.25,"Connecticut",-.022,1.678,-.1,1.6,-.4886567,1.399311,-1,2,-.0144324,1.348337,-.5,2.5,.0014639,683.1071,.5188523,1.316976,0,10,.2017192,1.800016,0,11
"CT","hsp",8,"math",1.09,.0351,.9251781,-.1053417,1.200398,1.178986,2.205444,6.147077,7017.25,"Connecticut",.167,1.867,-.1,1.6,-.2876797,1.450589,-1,2,.147586,1.40787,-.5,2.5,.001234,810.375,.6211048,1.476643,0,10,.319176,1.891673,0,11
"DE","blk",4,"read",.773,.0244,.2306909,.0649825,.8316102,.4854431,1.67955,2.967099,3213.167,"Delaware",.378,2.078,-.1,1.6,.1815398,1.155946,-1,2,.3938085,1.484521,-.5,2.5,.0005976,1673.335,.6717991,1.181764,0,10,.5082991,1.483623,0,11
