year,grade,sub,group,trueV,cihi,cilo,fips,unique
1992,4,"math","blk",1.060885,1.208814,.9129548,"Virginia",123
1992,4,"math","hsp",.4276938,.8786181,-.0232303,"Virginia",124
1992,4,"math","blk",.5017217,.8485418,.1549017,"West_Virginia",125
1992,4,"math","blk",1.397804,1.640649,1.154959,"Wisconsin",126
1992,4,"math","hsp",.8924909,1.154089,.6308925,"Wisconsin",127
1992,4,"math","blk",1.071173,1.623186,.519159,"Wyoming",128
1992,4,"math","hsp",.4561675,.6155527,.2967822,"Wyoming",129
1992,4,"read","blk",.9222464,1.074049,.7704442,"Alabama",130
1992,4,"read","blk",.6544068,.9276255,.3811881,"Arizona",131
1992,4,"read","hsp",.7305503,.8989627,.5621378,"Arizona",132
1992,4,"read","blk",.908662,1.03239,.7849342,"Arkansas",133
1992,4,"read","blk",.923408,1.164605,.6822107,"California",134
1992,4,"read","hsp",1.01736,1.186591,.8481289,"California",135
1992,4,"read","blk",.6726284,.8756757,.4695811,"Colorado",136
1992,4,"read","hsp",.6505576,.7895464,.5115689,"Colorado",137
1992,4,"read","blk",1.186247,1.423957,.9485365,"Connecticut",138
1992,4,"read","hsp",1.376504,1.690482,1.062526,"Connecticut",139
1992,4,"read","blk",.8358725,.9634407,.7083042,"Delaware",140
1992,4,"read","hsp",1.06019,1.494325,.6260548,"Delaware",141
1992,4,"read","blk",1.838277,2.092237,1.584317,"District_of_Columbia",142
1992,4,"read","hsp",1.683153,2.090452,1.275853,"District_of_Columbia",143
1992,4,"read","blk",.9839963,1.178182,.7898108,"Florida",144
1992,4,"read","hsp",.4748693,.6224842,.3272545,"Florida",145
1992,4,"read","blk",.8553272,1.022729,.6879252,"Georgia",146
1992,4,"read","hsp",.9818501,1.409242,.5544578,"Georgia",147
1992,4,"read","blk",.2035235,.4826597,-.0756127,"Hawaii",148
1992,4,"read","hsp",.5771599,.888835,.2654848,"Hawaii",149
1992,4,"read","hsp",.7925507,1.00402,.5810812,"Idaho",150
1992,4,"read","blk",.8272192,1.007118,.6473202,"Indiana",151
1992,4,"read","hsp",.7181535,1.253587,.1827201,"Indiana",152
1992,4,"read","blk",.6143239,.8575109,.3711368,"Iowa",153
1992,4,"read","hsp",.4826051,.9365349,.0286752,"Iowa",154
1992,4,"read","blk",.5826435,.7836231,.3816639,"Kentucky",155
1992,4,"read","blk",.8557643,.9877753,.7237532,"Louisiana",156
1992,4,"read","blk",.8566144,1.024831,.6883978,"Maryland",157
1992,4,"read","hsp",.6917553,.9391402,.4443704,"Maryland",158
1992,4,"read","blk",.9208246,1.139096,.702553,"Massachusetts",159
1992,4,"read","hsp",1.190767,1.443174,.93836,"Massachusetts",160
1992,4,"read","blk",1.141379,1.368894,.9138638,"Michigan",161
1992,4,"read","hsp",.7285693,1.122948,.3341908,"Michigan",162
1992,4,"read","blk",1.050748,1.503984,.5975111,"Minnesota",163
1992,4,"read","hsp",.8838255,1.289494,.478157,"Minnesota",164
1992,4,"read","blk",.982841,1.111288,.8543943,"Mississippi",165
1992,4,"read","blk",.9698757,1.185595,.7541564,"Missouri",166
1992,4,"read","blk",.961233,1.211134,.7113323,"Nebraska",167
1992,4,"read","hsp",.568016,.8823819,.2536501,"Nebraska",168
1992,4,"read","blk",1.179329,1.412092,.9465658,"New_Jersey",169
1992,4,"read","hsp",1.254221,1.492311,1.016132,"New_Jersey",170
1992,4,"read","blk",.6719489,.999994,.3439038,"New_Mexico",171
1992,4,"read","hsp",.7054237,.8349852,.5758621,"New_Mexico",172
1992,4,"read","blk",.8646596,1.057252,.672067,"New_York",173
1992,4,"read","hsp",1.185671,1.516229,.8551133,"New_York",174
1992,4,"read","blk",.7769071,.9025884,.6512257,"North_Carolina",175
1992,4,"read","blk",.7476088,.9205261,.5746915,"Ohio",176
1992,4,"read","hsp",.456745,.9715158,-.0580257,"Ohio",177
1992,4,"read","blk",.8014264,.9805674,.6222854,"Oklahoma",178
1992,4,"read","hsp",.6125305,.8500838,.3749772,"Oklahoma",179
1992,4,"read","blk",1.156595,1.33144,.9817498,"Pennsylvania",180
