grade,year,sub,group,state,enrl,whtenrl,totenrl,whtnaepscore,naepscore,naepavg,vgap,vgapse,fips,slideyear,minenrl,wht_pct,min_pct,whtnaepweight,minnaepweight,summinnaepweight,natenrl,natavg,whtnaepdev,naepdev,avgnaepdev
4,1992,"read","hsp","CT",3967.239,27928.11,37381,229.7982,187.249,221.613,1.376504,.1601928,"Connecticut",1,8556.432,.7471204,.1061298,171.6869,19.8727,43.86329,5.9e+06,216.737,13.06116,-29.48801,4.876
4,1992,"read","blk","CT",4589.193,27928.11,37381,229.7982,195.4139,221.613,1.186247,.1212809,"Connecticut",1,8556.432,.7471204,.1227681,171.6869,23.99059,43.86329,5.9e+06,216.737,13.06116,-21.3231,4.876
4,1992,"read","blk","WY",75.64644,7414.539,8290,224.7046,,222.983,9999,,"Wyoming",1,565.9018,.8943956,.009125,200.9748,,12.17137,5.9e+06,216.737,7.96759,,6.246
4,1992,"read","blk","SC",21448.12,29643.75,52241,220.8375,193.8928,209.716,.8664644,.0628506,"South Carolina",1,21706.95,.5674422,.4105611,125.3125,79.60483,79.60483,5.9e+06,216.737,4.100524,-22.84424,-7.021
4,1992,"read","hsp","CO",8213.018,37037.59,49387,221.2829,201.8342,216.525,.6505576,.0709126,"Colorado",1,10761.29,.7499461,.1662992,165.9502,33.56486,43.89928,5.9e+06,216.737,4.545898,-14.90282,-.212
4,1992,"read","blk","OH",20170.86,116039.8,139421,220.4346,197.1157,217.37,.7476088,.0882231,"Ohio",1,21967.61,.8322982,.1446759,183.4673,28.5179,31.20645,5.9e+06,216.737,3.697647,-19.62126,.633
4,1992,"read","hsp","NE",688.8959,20179.51,22460,223.682,204.5996,221.177,.568016,.1603908,"Nebraska",1,1779.871,.8984646,.0306721,200.9703,6.275506,15.78357,5.9e+06,216.737,6.944976,-12.13736,4.44
4,1992,"read","hsp","OH",1796.752,116039.8,139421,220.4346,208.6215,217.37,.456745,.2626381,"Ohio",1,21967.61,.8322982,.0128872,183.4673,2.688555,31.20645,5.9e+06,216.737,3.697647,-8.115479,.633
4,1992,"read","blk","ME",125.8528,16756.9,16889,226.8968,,226.81,9999,,"Maine",1,193.9914,.9921783,.0074518,225.1221,,0,5.9e+06,216.737,10.1598,,10.073
4,1992,"read","hsp","CA",148399.4,183294.9,412613,216.7376,180.3885,202.248,1.01736,.0863424,"California",1,183315.8,.4442296,.3596575,96.28124,64.87809,80.15675,5.9e+06,216.737,.0005641,-36.34846,-14.489
4,1992,"read","hsp","KY",121.2293,44487.54,49495,214.1943,,212.512,9999,,"Kentucky",1,4736.198,.898829,.0024493,192.524,,18.2739,5.9e+06,216.737,-2.542725,,-4.225
4,1992,"read","blk","AZ",2214.741,33199.86,54455,219.7758,197.8836,209.402,.6544068,.1393973,"Arizona",1,15638.8,.6096752,.040671,133.9919,8.048131,56.5621,5.9e+06,216.737,3.038833,-18.85338,-7.335
4,1992,"read","hsp","MN",843.8294,50874.78,56871,222.7855,197.7203,220.901,.8838255,.2069737,"Minnesota",1,3050.886,.8945644,.0148376,199.296,2.933696,10.27296,5.9e+06,216.737,6.048461,-19.01666,4.164
4,1992,"read","blk","AL",20914,36439.53,58331,217.2388,187.4922,207.358,.9222464,.0774501,"Alabama",1,21064.45,.6247027,.3585401,135.7097,67.22347,67.22347,5.9e+06,216.737,.5018458,-29.24478,-9.379
4,1992,"read","hsp","AR",225.3498,25618.99,34496,217.9735,,210.9,9999,,"Arkansas",1,8586.467,.7426656,.0065326,161.8814,,45.82603,5.9e+06,216.737,1.236495,,-5.837
4,1992,"read","blk","DC",5302.682,289.3461,5961,246.3297,184.7903,188.14,1.838277,.1295713,"District of Columbia",1,5608.083,.0485399,.8895625,11.95681,164.3825,174.1031,5.9e+06,216.737,29.59267,-31.9467,-28.597
4,1992,"read","hsp","DC",305.4016,289.3461,5961,246.3297,189.7311,188.14,1.683153,.2078057,"District of Columbia",1,5608.083,.0485399,.0512333,11.95681,9.720545,174.1031,5.9e+06,216.737,29.59267,-27.00594,-28.597
4,1992,"read","blk","MO",10077.26,53120.14,64320,224.714,194.8002,220.049,.9698757,.1100609,"Missouri",1,10557.1,.8258728,.1566738,185.5852,30.52008,30.52008,5.9e+06,216.737,7.97702,-21.93684,3.312
4,1992,"read","hsp","ID",2378,15755,18430,220.8958,197.9909,219.317,.7925507,.1078926,"Idaho",1,2531,.8548562,.1290288,188.8341,25.54652,25.54652,5.9e+06,216.737,4.158752,-18.74611,2.58
4,1992,"read","hsp","PA",3637.551,105969.2,128877,226.5236,191.3929,220.693,1.114153,.2103733,"Pennsylvania",1,20704.48,.8222508,.028225,186.2592,5.402061,30.60212,5.9e+06,216.737,9.78662,-25.34409,3.956
4,1992,"read","blk","HI",396.1148,3541.565,13677,212.14,205.1788,203.427,.2035235,.1424164,"Hawaii",1,1086.697,.2589431,.0289621,54.9322,5.942411,15.70707,5.9e+06,216.737,-4.596955,-11.5582,-13.31
